gender,number_of_dependents,education_level,employment_type,monthly_income,loan_amount_requested,loan_tenure_months,area_type,loan_type,loan_status,data_source,credit_score,total_assets_value,liquid_assets_value,savings_balance,application_id,age,marital_status,occupation,income_type,state,loan_purpose,existing_emi,is_synthetic_age,is_synthetic_gender,is_synthetic_marital_status,is_synthetic_occupation,is_synthetic_employment_type,is_synthetic_income_type,is_synthetic_area_type,is_synthetic_credit_score,is_synthetic_existing_emi,is_synthetic_savings_balance,is_synthetic_total_assets_value,is_synthetic_liquid_assets_value,is_synthetic_state,is_synthetic_loan_purpose,loan_to_income_ratio,debt_to_income_ratio
Male,0.0,Undergraduate,Full-Time,5849.0,130000.0,360.0,Urban,Home Loan,1,ds1_loan_prediction,707.9791225535794,45474.754735045724,21923.669174234394,15557.398016905108,1,36.0,Single,Retail & Customer Service,Salary,Delhi,Home Renovation,282.981542739298,True,False,True,True,True,True,False,True,True,True,True,True,True,True,1.8521684618453298,0.04838118357655975
Male,1.0,Undergraduate,Full-Time,4583.0,128000.0,360.0,Rural,Home Loan,0,ds1_loan_prediction,688.9363657494694,7862.286028502039,2544.3649921921847,5256.473685431504,2,38.0,Married,Student,Salary,Telangana,Home Renovation,242.9383036189517,True,False,True,True,True,True,False,True,True,True,True,True,True,True,2.3274419957815113,0.053008575958750095
Male,0.0,Undergraduate,Self-Employed,3000.0,66000.0,360.0,Urban,Home Loan,1,ds1_loan_prediction,705.2583325489451,49801.74126850209,22449.089061679082,2777.835148128693,3,41.0,Married,Retail & Customer Service,Self-Employment Income,Chandigarh,Home Purchase,298.4486858948225,True,False,True,True,False,True,False,True,True,True,True,True,True,True,1.8333333333333333,0.09948289529827417
Male,0.0,Higher Secondary,Full-Time,2583.0,120000.0,360.0,Urban,Home Loan,1,ds1_loan_prediction,747.9468950435995,12449.149023488353,3070.245124454133,2682.2335118091464,4,22.0,Married,Construction,Salary,Sikkim,Home Renovation,31.792729959378857,True,False,True,True,True,True,False,True,True,True,True,True,True,True,3.8714672861014323,0.012308451397359216
Male,0.0,Undergraduate,Full-Time,6000.0,141000.0,360.0,Urban,Home Loan,1,ds1_loan_prediction,684.6468547339364,40984.66285051806,12097.525601168676,15393.01334052812,5,32.0,Single,Government Services,Salary,Nagaland,Home Renovation,590.9678387441471,True,False,True,True,True,True,False,True,True,True,True,True,True,True,1.9583333333333333,0.09849463979069119
Male,2.0,Undergraduate,Self-Employed,5417.0,267000.0,360.0,Urban,Home Loan,1,ds1_loan_prediction,705.0445382650206,23024.723320267825,5858.3121454737275,10177.15331943391,6,31.0,Married,Other,Self-Employment Income,Kerala,Home Purchase,0.0,True,False,True,True,False,True,False,True,True,True,True,True,True,True,4.10743954218202,0.0
Male,0.0,Higher Secondary,Full-Time,2333.0,95000.0,360.0,Urban,Home Loan,1,ds1_loan_prediction,739.354223512367,21919.088177228965,6313.296425738954,2584.7403822029737,7,29.0,Married,Construction,Salary,Jharkhand,Home Renovation,0.0,True,False,True,True,True,True,False,True,True,True,True,True,True,True,3.3933419059865697,0.0
Male,4.0,Undergraduate,Part-Time,3036.0,158000.0,360.0,Semiurban,Home Loan,0,ds1_loan_prediction,512.417720014242,17896.71444608006,7163.732394758757,8047.894960298072,8,33.0,Married,Sales & Marketing,Salary,Assam,Home Renovation,0.0,True,False,True,True,True,True,False,True,True,True,True,True,True,True,4.336846728151076,0.0
Male,2.0,Undergraduate,Full-Time,4006.0,168000.0,360.0,Urban,Home Loan,1,ds1_loan_prediction,832.4133694239771,90726.60556651629,21995.424828301882,4876.471527382917,9,48.0,Married,Retail & Customer Service,Salary,Karnataka,Home Purchase,18.565932699961717,True,False,True,True,True,True,False,True,True,True,True,True,True,True,3.494757863205192,0.004634531377923544
Male,1.0,Undergraduate,Contract,12841.0,349000.0,360.0,Semiurban,Home Loan,0,ds1_loan_prediction,726.1989925410875,20934.610952024203,7553.054651188544,9625.389249360804,10,27.0,Married,Sales & Marketing,Salary,Andaman and Nicobar Islands,Home Renovation,564.0308448892555,True,False,True,True,True,True,False,True,True,True,True,True,True,True,2.264880720608468,0.04392421500578269
Male,2.0,Undergraduate,Full-Time,3200.0,70000.0,360.0,Urban,Home Loan,1,ds1_loan_prediction,659.1146335475873,29435.087381011923,5914.6095849450585,2920.0118741822757,11,44.0,Married,Education,Salary,Karnataka,Home Renovation,426.6381857790716,True,False,True,True,True,True,False,True,True,True,True,True,True,True,1.8229166666666667,0.13332443305595987
Male,2.0,Undergraduate,Full-Time,2500.0,128000.0,360.0,Urban,Home Loan,1,ds1_loan_prediction,677.2313765615606,10816.17591778618,5353.263039591479,5066.437249068524,12,21.0,Married,Other,Salary,Mizoram,Home Purchase,116.44575268510428,True,False,True,True,True,True,False,True,True,True,True,True,True,True,4.266666666666667,0.04657830107404171
