age,gender,marital_status,number_of_dependents,education_level,employment_type,occupation,income_type,state,area_type,monthly_income,loan_type,loan_amount_requested,loan_tenure_months,loan_purpose,credit_score,existing_emi,savings_balance,total_assets_value,liquid_assets_value,loan_to_income_ratio,debt_to_income_ratio,loan_status
35.0,1,2,3.0,1,1,4,2,6,2,466666.6666666667,1,20300000.0,48.0,2,330.0,50394.87104837632,4200000.0,40700000.0,19500000.0,3.625,0.1079890093893778,1
22.0,1,4,5.0,1,3,7,0,1,1,816666.6666666666,1,30300000.0,72.0,2,867.0,0.0,7600000.0,74600000.0,37800000.0,3.0918367346938775,0.0,1
35.0,1,2,0.0,1,1,11,2,11,1,4860.0,1,125000.0,360.0,1,683.6171495940941,540.4006966969669,8755.95667695123,29959.113312562935,9753.069043265512,2.1433470507544583,0.1111935589911454,1
32.0,1,1,3.0,1,4,7,2,12,1,133333.33333333334,0,3500000.0,120.0,0,844.0,0.0,1600000.0,13500000.0,6800000.0,2.1875,0.0,1
32.0,0,4,3.0,0,3,1,1,17,2,491666.6666666667,1,19200000.0,120.0,1,442.0,36066.20633908988,4700000.0,33000000.0,23000000.0,3.2542372881355934,0.0733549959439116,0
29.0,1,1,2.0,0,3,1,1,35,2,450000.0,0,11500000.0,72.0,3,841.0,0.0,6600000.0,24600000.0,17700000.0,2.1296296296296298,0.0,1
29.0,0,1,2.0,0,1,0,2,15,1,210.0,1,128000.0,360.0,2,800.3005994969491,9.495205945148996,509.58202634445655,3803.125097758153,931.6411751296454,50.79365079365079,0.0452152664054714,1
38.0,1,4,3.0,1,1,1,2,14,1,116666.66666666669,0,3500000.0,192.0,3,365.0,0.0,1600000.0,9300000.0,4500000.0,2.5,0.0,0
28.0,0,2,2.0,1,3,5,3,12,1,200000.0,1,7500000.0,48.0,2,851.0,12351.77230438073,2400000.0,11800000.0,8000000.0,3.125,0.0617588615219036,1
43.0,1,4,1.0,1,1,5,2,19,1,766666.6666666666,0,18800000.0,24.0,0,351.0,25762.360078306272,13000000.0,69100000.0,44500000.0,2.0434782608695654,0.0336030783630081,0
34.0,1,4,4.0,0,3,1,0,3,1,266666.6666666667,0,6800000.0,192.0,3,675.0,0.0,4000000.0,20700000.0,10800000.0,2.125,0.0,1
37.0,0,4,0.0,1,1,9,2,22,0,333333.3333333333,1,11500000.0,96.0,1,434.0,0.0,5900000.0,21600000.0,14300000.0,2.875,0.0,0
21.0,0,4,4.0,1,1,7,2,6,2,133333.33333333334,1,5500000.0,120.0,1,577.0,26487.736115904536,1400000.0,7100000.0,5500000.0,3.4375,0.198658020869284,1
40.0,1,2,4.0,0,2,1,2,33,2,716666.6666666666,1,25100000.0,72.0,2,820.0,0.0,8300000.0,53700000.0,34300000.0,2.9186046511627906,0.0,1
48.0,1,2,4.0,0,3,2,3,31,2,66666.66666666667,1,2800000.0,192.0,1,645.0,5558.610216953169,600000.0,5200000.0,2900000.0,3.5,0.0833791532542975,1
35.0,0,4,0.0,0,3,10,0,7,2,700000.0,1,23000000.0,168.0,2,455.0,46958.22274629299,9400000.0,53000000.0,39200000.0,2.738095238095238,0.0670831753518471,0
35.0,1,2,1.0,0,3,2,1,14,1,725000.0,1,28300000.0,96.0,1,402.0,68817.72852400721,10200000.0,72100000.0,38100000.0,3.2528735632183907,0.0949210048606996,0
30.0,1,1,4.0,1,1,6,2,21,2,483333.3333333333,0,13500000.0,168.0,3,816.0,0.0,7900000.0,51400000.0,28300000.0,2.3275862068965516,0.0,1
50.0,1,2,3.0,0,3,13,0,28,1,450000.0,1,16300000.0,48.0,1,512.0,0.0,6000000.0,24100000.0,19100000.0,3.0185185185185186,0.0,1
37.0,1,4,2.0,1,1,1,2,4,0,700000.0,1,33200000.0,168.0,1,474.0,0.0,11500000.0,71500000.0,36900000.0,3.952380952380953,0.0,0
33.0,1,2,1.0,0,3,2,3,24,1,66666.66666666667,1,2200000.0,48.0,1,852.0,807.1197780847554,1000000.0,4300000.0,3200000.0,2.75,0.0121067966712713,1
38.0,1,2,1.0,0,3,2,0,17,2,108333.33333333331,1,5000000.0,48.0,1,610.0,0.0,900000.0,9600000.0,5400000.0,3.8461538461538463,0.0,1
27.0,1,2,3.0,0,3,13,3,2,0,608333.3333333334,1,20000000.0,216.0,1,720.0,19581.92804577893,9800000.0,58200000.0,32800000.0,2.73972602739726,0.0321894707601845,1
