gender,number_of_dependents,education_level,employment_type,monthly_income,loan_amount_requested,loan_tenure_months,area_type,loan_type,loan_status,data_source,credit_score,total_assets_value,liquid_assets_value,savings_balance,application_id,age,marital_status,occupation,income_type,state,loan_purpose,existing_emi,is_synthetic_age,is_synthetic_gender,is_synthetic_marital_status,is_synthetic_occupation,is_synthetic_employment_type,is_synthetic_income_type,is_synthetic_area_type,is_synthetic_credit_score,is_synthetic_existing_emi,is_synthetic_savings_balance,is_synthetic_total_assets_value,is_synthetic_liquid_assets_value,is_synthetic_state,is_synthetic_loan_purpose,loan_to_income_ratio,debt_to_income_ratio
Male,4.0,Undergraduate,Self-Employed,108333.33333333333,3900000.0,192.0,Semiurban,Home Loan,1,ds2_loan_approval_kaggle,566.0,5900000.0,5000000.0,1600000.0,4537,39.0,In a relationship,Engineering & Technology,Business Income,Arunachal Pradesh,Home Purchase,13058.847914260614,True,True,True,True,False,True,True,False,True,False,False,False,True,True,3.0,0.12054321151625183
Female,5.0,Undergraduate,Self-Employed,16666.666666666668,400000.0,216.0,Urban,Business Loan,1,ds2_loan_approval_kaggle,822.0,1400000.0,900000.0,300000.0,2382,21.0,Married,Government Services,Self-Employment Income,Kerala,Business Expansion,351.95012220431926,True,True,True,True,False,True,True,False,True,False,False,False,True,True,2.0,0.021117007332259154
Male,2.0,Higher Secondary,Self-Employed,50000.0,1100000.0,96.0,Rural,Business Loan,1,ds2_loan_approval_kaggle,885.0,2200000.0,1500000.0,300000.0,2379,30.0,In a relationship,Business & Management,Business Income,Manipur,Working Capital,5161.4110256138165,True,True,True,True,False,True,True,False,True,False,False,False,True,True,1.8333333333333333,0.10322822051227633
Male,4.0,Higher Secondary,Full-Time,525000.0,21900000.0,120.0,Semiurban,Home Loan,0,ds2_loan_approval_kaggle,538.0,42100000.0,27100000.0,7800000.0,1443,35.0,Single,Sales & Marketing,Salary,Uttar Pradesh,Home Renovation,109140.39991137551,True,True,True,True,True,True,True,False,True,False,False,False,True,True,3.4761904761904763,0.20788647602166765
Male,2.0,Undergraduate,Self-Employed,6000.0,205000.0,240.0,Semiurban,Home Loan,0,ds1_loan_prediction,715.0855515177507,26431.63131858933,10887.153987383963,11364.17333114099,592,22.0,In a relationship,Education,Business Income,Delhi,Home Renovation,0.0,True,False,True,True,False,True,False,True,True,True,True,True,True,True,2.8472222222222223,0.0
Male,4.0,Undergraduate,Full-Time,458333.3333333333,11600000.0,144.0,Semiurban,Business Loan,0,ds2_loan_approval_kaggle,474.0,29900000.0,25700000.0,5600000.0,3850,29.0,Married,Other,Salary,Arunachal Pradesh,Working Capital,24182.437494771024,True,True,True,True,True,True,True,False,True,False,False,False,True,True,2.109090909090909,0.052761681806773146
Female,0.0,Higher Secondary,Part-Time,258333.33333333334,10100000.0,168.0,Semiurban,Home Loan,0,ds2_loan_approval_kaggle,376.0,24900000.0,15900000.0,4300000.0,2328,40.0,Married,Other,Salary,Andhra Pradesh,Home Purchase,19505.654358520096,True,True,True,True,True,True,True,False,True,False,False,False,True,True,3.2580645161290325,0.07550575880717457
Male,3.0,Higher Secondary,Temporary,525000.0,23800000.0,120.0,Semiurban,Home Loan,1,ds2_loan_approval_kaggle,760.0,41200000.0,27200000.0,8800000.0,2266,39.0,Single,Sales & Marketing,Salary,Jharkhand,Home Renovation,0.0,True,True,True,True,True,True,True,False,True,False,False,False,True,True,3.7777777777777777,0.0
Male,1.0,Higher Secondary,Self-Employed,725000.0,27500000.0,192.0,Rural,Home Loan,1,ds2_loan_approval_kaggle,815.0,50900000.0,29500000.0,5900000.0,3784,33.0,Single,Other,Business Income,Lakshadweep,Home Purchase,65018.58627862128,True,True,True,True,False,True,True,False,True,False,False,False,True,True,3.160919540229885,0.08968080866016728
Female,1.0,Higher Secondary,Self-Employed,683333.3333333334,32400000.0,216.0,Urban,Home Loan,1,ds2_loan_approval_kaggle,831.0,60600000.0,25500000.0,7800000.0,858,33.0,Single,Business & Management,Freelance Income,Tripura,Home Purchase,79438.59147479753,True,True,True,True,False,True,True,False,True,False,False,False,True,True,3.951219512195122,0.11625159728019151
Female,5.0,Undergraduate,Self-Employed,366666.6666666667,16500000.0,120.0,Rural,Home Loan,1,ds2_loan_approval_kaggle,806.0,21900000.0,14000000.0,2800000.0,2756,27.0,Married,Government Services,Business Income,Lakshadweep,Home Renovation,55658.703217598435,True,True,True,True,False,True,True,False,True,False,False,False,True,True,3.75,0.151796463320723
